"","train","X","Y","Green8_5","Red8_5","Red.Edge8_5","NIR8_5","NDVI8_5","DSM8_5","StdVegHeight8_5","Green7_12","Red7_12","Red.Edge7_12","NIR7_12","NDVI7_12","DSM7_12","StdVegHeight7_12"
"13",1,306830.8457,4994506.926,0.0881412,0.0658743,0.1926106,0.2289628,0.5545663,178.9920044,0.0087205,0.10034,0.0834614,0.2284717,0.2859572,0.5545663,178.9920044,0.0327979
"14",4,306795.1927,4994506.2516,0.0388469,0.023374,0.1345792,0.2414907,0.8232513,179.4311218,0.0065474,0.0465566,0.0305608,0.119756,0.1935065,0.8232513,179.4311218,0.0109841
"15",4,306838.6344,4994479.7785,0.0512522,0.031689,0.1598312,0.260279,0.7925747,179.7737274,0.0131003,0.0501553,0.0309338,0.1601056,0.2483493,0.7925747,179.7737274,0.0116885
"16",4,307008.8272,4994503.9103,0.0326101,0.0148238,0.0864445,0.1749952,0.8414664,179.5781403,0.0048564,0.0423188,0.0298451,0.1540067,0.2952111,0.8414664,179.5781403,0.0336955
"18",4,306705.4693,4994518.2964,0.0743986,0.0475909,0.1963372,0.2528342,0.7145354,178.0241699,0.0053441,0.102837,0.0662448,0.2495119,0.3172824,0.7145354,178.0241699,0.0279402
"19",1,306881.6464,4994547.5497,0.0847171,0.0742244,0.1908265,0.2960145,0.661338,179.8808899,0.0290346,0.0940138,0.1032016,0.1548395,0.2251851,0.661338,179.8808899,0.0118487
"20",4,306832.798,4994499.0177,0.0479487,0.028651,0.1562354,0.2642915,0.8025249,179.6025848,0.0244783,0.049193,0.0344259,0.1233768,0.187018,0.8025249,179.6025848,0.0096059
"21",4,306789.0726,4994548.355,0.0615618,0.0456563,0.166348,0.2474216,0.7730603,179.6500549,0.0470892,0.0705119,0.0566663,0.1667293,0.2460353,0.7730603,179.6500549,0.0123677
"22",3,306858.047,4994473.0224,0.0678311,0.0387504,0.1517197,0.1690581,0.6006505,179.0730896,0.0034741,0.0626505,0.0406096,0.1225235,0.1498443,0.6006505,179.0730896,0.0061215
"23",2,306828.7698,4994434.8135,0.077621,0.0731604,0.162339,0.1938178,0.426257,179.0961456,0.005737,0.105273,0.0867557,0.2319419,0.2748246,0.426257,179.0961456,0.0052978
"24",4,306769.378,4994540.0598,0.0582699,0.0373748,0.165731,0.2549954,0.7538713,179.3722687,0.0080995,0.0659775,0.0575114,0.1436408,0.2020718,0.7538713,179.3722687,0.0060189
"25",4,306756.1043,4994497.8637,0.0556493,0.0352668,0.1712966,0.2896304,0.7784778,179.1756744,0.0093854,0.0489944,0.0315046,0.1216155,0.205771,0.7784778,179.1756744,0.0228022
"26",2,306803.0463,4994448.5734,0.0903021,0.0708813,0.2251737,0.2744998,0.5471549,179.0970306,0.0035532,0.1062921,0.0852469,0.2369535,0.2814941,0.5471549,179.0970306,0.001673
"27",2,306894.7012,4994504.5607,0.0911976,0.0776229,0.1634125,0.1939336,0.386919,179.0682678,0.0036122,0.0427974,0.0289449,0.0815951,0.0989532,0.386919,179.0682678,0.0016178
"28",2,306968.5622,4994513.7233,0.0881257,0.0709443,0.2264574,0.2544664,0.5313118,178.5509033,0.0088237,0.1123641,0.1048084,0.3071353,0.3776699,0.5313118,178.5509033,0.0074942
"29",2,306958.0202,4994498.8189,0.1083587,0.1068679,0.2660615,0.3367329,0.4732809,178.7755432,0.0036872,0.0772815,0.068412,0.191291,0.2316119,0.4732809,178.7755432,0.0045067
"30",2,306878.2937,4994541.9224,0.0959489,0.1111376,0.1601372,0.2172057,0.3189673,179.7216644,0.017671,0.078409,0.0870044,0.1482776,0.2114244,0.3189673,179.7216644,0.0174842
"31",1,306780.9335,4994529.659,0.0883993,0.0604096,0.2579268,0.3722676,0.7272809,179.27948,0.0084294,0.0655778,0.0415033,0.1805215,0.2720833,0.7272809,179.27948,0.0055455
"32",3,306919.1999,4994491.7649,0.0363457,0.02312,0.0605818,0.0714673,0.4261889,178.9917755,0.0051321,0.0239541,0.0116019,0.026774,0.031111,0.4261889,178.9917755,0.0175471
"33",2,306877.0439,4994525.3069,0.1422447,0.1128461,0.3584307,0.4463614,0.5939528,179.1775818,0.0095386,0.1339525,0.1241388,0.3297673,0.4158849,0.5939528,179.1775818,0.0185044
"34",4,306803.4552,4994541.5313,0.0711046,0.0519489,0.183446,0.2813936,0.6665514,179.0992889,0.0156998,0.0664453,0.0569465,0.1474866,0.2239394,0.6665514,179.0992889,0.0035235
"35",4,306786.7863,4994535.1615,0.0504653,0.0365174,0.1505489,0.2544031,0.7123264,179.6426697,0.0162455,0.0495351,0.0329952,0.1583817,0.273947,0.7123264,179.6426697,0.0006795
"36",1,306878.5725,4994466.9182,0.0780977,0.0543654,0.1550789,0.1790759,0.4743331,179.1645203,0.0015557,0.057284,0.0449539,0.1265107,0.1365296,0.4743331,179.1645203,0.0042004
"37",4,306805.8873,4994547.8998,0.0632496,0.042489,0.1771259,0.274569,0.736639,179.2703247,0.0088153,0.0613127,0.0504919,0.1473377,0.2105207,0.736639,179.2703247,0.0351625
"38",4,306812.8191,4994548.5107,0.0610387,0.0411232,0.1954122,0.3175275,0.7310345,179.4081116,0.0115631,0.0508811,0.0335921,0.1420858,0.2208988,0.7310345,179.4081116,0.0063702
"39",2,306742.0059,4994514.9387,0.1017894,0.0852517,0.2473029,0.3241798,0.611909,178.7520142,0.0068543,0.0909045,0.0700233,0.2139626,0.2933194,0.611909,178.7520142,0.0029644
